shipper_id,shipper_company,shipper_vehicle,shipper_experience_years,shipper_rating,delivery_success_rate,average_delivery_time,working_shift,join_date,shipper_name,shipper_phone,shipper_gender,shipper_age,shipper_marital_status,shipper_education,zip,first_observed_ship_date,join_date_original,join_date_invalid_flag
SHP00001,Viettel Post,Truck,7,5.0,99.0,61,Evening,,Bùi Văn Long,0991476209,Male,27,Married,Bachelor,38006,2012-07-05,2026-03-17,1
SHP00002,J&T Express,Van,2,4.9,98.4,72,Afternoon,,Trần Anh Khánh,0959297982,Male,41,Married,Bachelor,63112,2012-07-06,2025-01-29,1
SHP00003,GHN,Motorbike,10,4.8,95.1,53,Evening,,Hoàng Thị Khánh,0927142576,Male,30,Single,High School,97005,2012-07-04,2019-11-13,1
SHP00004,Viettel Post,Truck,8,5.0,96.3,53,Evening,,Trần Đức Vy,0971617475,Female,42,Married,College,55919,2012-07-05,2025-12-22,1
SHP00005,BEST Express,Truck,10,4.6,95.7,62,Morning,,Trần Minh Cường,0979196342,Male,31,Married,College,75102,2012-07-05,2019-12-19,1
SHP00006,J&T Express,Van,9,4.7,96.0,41,Afternoon,,Võ Thanh Nam,0951235544,Female,41,Married,Bachelor,63103,2012-07-04,2024-02-02,1
SHP00007,BEST Express,Truck,6,4.4,99.6,75,Afternoon,,Hoàng Anh Hùng,0987597617,Female,34,Single,High School,32408,2012-07-06,2024-06-06,1
SHP00008,BEST Express,Truck,5,4.7,95.9,69,Afternoon,,Phạm Thanh Trang,0914419500,Female,34,Married,Bachelor,43142,2012-07-05,2022-03-11,1
SHP00009,BEST Express,Truck,12,4.3,97.4,66,Evening,,Nguyễn Thanh Bình,0909770946,Female,53,Married,College,00098,2012-07-06,2022-10-06,1
SHP00010,Ahamove,Motorbike,8,4.5,99.5,44,Evening,,Bùi Đức Bình,0921691981,Male,31,Single,Bachelor,90090,2012-07-07,2022-08-10,1
SHP00011,J&T Express,Van,5,4.6,98.4,74,Afternoon,,Võ Thị Hùng,0940850445,Female,43,Single,High School,17569,2012-07-04,2023-03-23,1
SHP00012,GHTK,Motorbike,6,4.7,97.2,31,Morning,,Nguyễn Thị Bình,0972210652,Female,49,Single,Bachelor,20588,2012-07-05,2023-10-01,1
SHP00013,BEST Express,Truck,10,4.2,97.7,47,Morning,,Lê Anh Hà,0984678290,Female,39,Single,College,75849,2012-07-04,2025-10-28,1
SHP00014,J&T Express,Van,8,4.8,96.3,71,Evening,,Lê Gia Vy,0971290529,Male,50,Single,Bachelor,59211,2012-07-06,2018-02-10,1
SHP00015,Viettel Post,Truck,1,4.3,98.8,42,Afternoon,,Bùi Văn Hùng,0946414069,Female,48,Single,Bachelor,16312,2012-07-04,2024-12-22,1
SHP00016,Viettel Post,Truck,6,4.9,96.6,59,Afternoon,,Bùi Văn Trang,0926827357,Male,55,Married,High School,38017,2012-07-05,2020-01-05,1
SHP00017,GHN,Motorbike,11,5.0,98.1,69,Afternoon,,Bùi Thị Hùng,0908818611,Female,51,Married,College,69141,2012-07-04,2025-08-24,1
SHP00018,GHN,Motorbike,7,4.3,98.5,63,Afternoon,,Lê Gia Phong,0902541877,Female,52,Single,College,27028,2012-07-05,2020-08-27,1
SHP00019,GHN,Motorbike,2,4.8,96.5,39,Evening,,Đặng Văn Nam,0991210929,Female,46,Single,Bachelor,73044,2012-07-04,2023-11-03,1
SHP00020,Ninja Van,Van,6,5.0,95.7,57,Afternoon,,Hoàng Đức Giang,0903070385,Female,53,Married,High School,68014,2012-07-06,2025-03-30,1
SHP00021,GHN,Motorbike,12,4.3,99.7,20,Morning,,Lê Quốc Trang,0960718218,Female,48,Married,Bachelor,59218,2012-07-05,2023-12-12,1
SHP00022,Ahamove,Motorbike,7,4.8,99.4,31,Morning,,Lê Thanh Nam,0988804431,Male,54,Single,Bachelor,40737,2012-07-06,2018-06-29,1
